"ItemId","Name","Spell","Source","Area","Map","Quests","Verdict"
"3912","Soul Gem","3607","client","0","0","592 593 26305","already-gated"
"4027","Catelyn's Blade","3678","client","0","0","610 611 612","already-gated"
"43166","The Bone Witch's Amulet","3921","client","0","0","13133","already-gated"
"44246","Orb of Illusion","5513","client","0","0","13318 13323 13352 13353","already-gated"
"40551","Gore Bladder","6509","client","0","0","12810","already-gated"
"22432","Devilsaur Barb","7211","client","0","0","9051","already-gated"
"43141","Fate Rune of Unsurpassed Vigor","7434","client","0","0","","already-gated"
"6684","Snufflenose Command Stick","8283","client","0","0","1221 24900","already-gated"
"6866","Symbol of Life","8593","client","0","0","1779 1781 9600","already-gated"
"7308","Cantation of Manifestation","9095","client","0","0","1920 1960","already-gated"
"7866","Empty Thaumaturgy Vessel","9712","client","0","0","","already-gated"
"8051","Flare Gun","10113","client","0","0","2458","already-gated"
"8066","Fizzule's Whistle","10137","client","0","0","","already-gated"
"8149","Voodoo Charm","10617","client","0","0","2561","already-gated"
"9189","Shay's Bell","11402","client","0","0","2845","already-gated"
"9283","Empty Leaden Collection Phial","11513","client","0","0","2926","already-gated"
"9328","Super Snapper FX","11610","client","0","0","2944","already-gated"
"9466","Orwin's Shovel","11757","client","0","0","2987 25376","already-gated"
"9606","Treant Muisek Vessel","11885","client","0","0","3126 25338","already-gated"
"9618","Beast Muisek Vessel","11886","client","0","0","3123 25336","already-gated"
"9619","Hippogryph Muisek Vessel","11887","client","0","0","3124 25337","already-gated"
"9620","Faerie Dragon Muisek Vessel","11888","client","0","0","3125 25345","already-gated"
"9621","Mountain Giant Muisek Vessel","11889","client","0","0","3127 25346","already-gated"
"10464","Staff of Command","12347","client","0","0","","already-gated"
"10699","Yeh'kinya's Bramble","12699","client","0","0","3520","already-gated"
"9364","Heavy Leaden Collection Phial","12709","client","0","0","2962","already-gated"
"11609","Altered Black Dragonflight Molt","13982","client","0","0","","already-gated"
"11231","Altered Black Dragonflight Molt","13982","client","0","0","4024","already-gated"
"11286","Thorium Shackles","14250","client","0","0","4121 4122","already-gated"
"11320","Bloodpetal Zapper","14806","client","0","0","","already-gated"
"11804","Spraggle's Canteen","15591","client","0","0","4491 24735","already-gated"
"12262","Empty Worg Pup Cage","15998","client","0","0","4729","already-gated"
"12284","Draco-Incarcinatrix 900","16007","client","0","0","4726","already-gated"
"12288","Encased Corrupt Ooze","16031","client","0","0","4642","already-gated"
"12300","Orb of Draconic Energy","16053","client","0","0","","already-gated"
"12472","Krakle's Thermometer","16378","client","0","0","974 24742","already-gated"
"12627","Temporal Displacer","16613","client","0","0","4971","already-gated"
"12647","Felhas Ruby","16627","client","0","0","4962","already-gated"
"12848","Blood Stained Pike","17048","client","0","0","5127","already-gated"
"12928","Umi's Mechanical Yeti","17166","client","0","0","5163 28722","already-gated"
"13752","Soulbound Keepsake","17179","client","0","0","5466","already-gated"
"13536","Horn of Awakening","17536","client","0","0","5321","already-gated"
"15736","Smokey's Special Compound","19250","client","0","0","6041","already-gated"
